Method,Prompt,Model,Setting,Ability,Accuracy,Run,MarginType,Margin
LM,base,mistral,Raw,Overall,0.44,0,Raw,-0.639
LM,base,mistral,Raw,FirstOrder,0.44,0,Raw,-0.5714
LM,base,mistral,Raw,SecondOrder,0.44,0,Raw,-0.7066
LM,base,mistral,Norm,Overall,0.5,0,Norm,-0.6583
LM,base,mistral,Norm,FirstOrder,0.54,0,Norm,-0.6278
LM,base,mistral,Norm,SecondOrder,0.46,0,Norm,-0.6887
MC,base,mistral,Raw,Overall,0.264,0,,
MC,base,mistral,Raw,FirstOrder,0.356,0,,
MC,base,mistral,Raw,SecondOrder,0.172,0,,
MC,base,mistral,Vote,Overall,0.28,0,,
MC,base,mistral,Vote,FirstOrder,0.38,0,,
MC,base,mistral,Vote,SecondOrder,0.18,0,,
MC,cot,mistral,Raw,Overall,0.264,0,,
MC,cot,mistral,Raw,FirstOrder,0.356,0,,
MC,cot,mistral,Raw,SecondOrder,0.172,0,,
MC,cot,mistral,Vote,Overall,0.28,0,,
MC,cot,mistral,Vote,FirstOrder,0.38,0,,
MC,cot,mistral,Vote,SecondOrder,0.18,0,,
FR,base,mistral,EM,Overall,0.89,1,,
FR,base,mistral,EM,Overall,0.86,2,,
FR,base,mistral,EM,Overall,0.88,3,,
FR,base,mistral,EM,Overall,0.87,4,,
FR,base,mistral,EM,Overall,0.89,5,,
FR,base,mistral,EM,FirstOrder,0.82,1,,
FR,base,mistral,EM,FirstOrder,0.78,2,,
FR,base,mistral,EM,FirstOrder,0.8,3,,
FR,base,mistral,EM,FirstOrder,0.78,4,,
FR,base,mistral,EM,FirstOrder,0.86,5,,
FR,base,mistral,EM,SecondOrder,0.96,1,,
FR,base,mistral,EM,SecondOrder,0.94,2,,
FR,base,mistral,EM,SecondOrder,0.96,3,,
FR,base,mistral,EM,SecondOrder,0.96,4,,
FR,base,mistral,EM,SecondOrder,0.92,5,,
FR,cot,mistral,EM,Overall,0.74,1,,
FR,cot,mistral,EM,Overall,0.84,2,,
FR,cot,mistral,EM,Overall,0.75,3,,
FR,cot,mistral,EM,Overall,0.76,4,,
FR,cot,mistral,EM,Overall,0.74,5,,
FR,cot,mistral,EM,FirstOrder,0.66,1,,
FR,cot,mistral,EM,FirstOrder,0.74,2,,
FR,cot,mistral,EM,FirstOrder,0.64,3,,
FR,cot,mistral,EM,FirstOrder,0.64,4,,
FR,cot,mistral,EM,FirstOrder,0.6,5,,
FR,cot,mistral,EM,SecondOrder,0.82,1,,
FR,cot,mistral,EM,SecondOrder,0.94,2,,
FR,cot,mistral,EM,SecondOrder,0.86,3,,
FR,cot,mistral,EM,SecondOrder,0.88,4,,
FR,cot,mistral,EM,SecondOrder,0.88,5,,
